label,cycle number,Capacity/mA.h,Norm_Cap,Cycles Until Fail,20004.453 Re,15829.126 Re,12516.703 Re,9909.4424 Re,7835.48 Re,6217.2461 Re,4905.291 Re,3881.2737 Re,3070.9827 Re,2430.7778 Re,1923.1537 Re,1522.4358 Re,1203.8446 Re,952.86591 Re,754.27557 Re,596.71857 Re,471.96338 Re,373.20856 Re,295.47278 Re,233.87738 Re,185.05922 Re,146.35823 Re,115.77804 Re,91.6721 Re,72.51701 Re,57.36816 Re,45.3629 Re,35.93134 Re,28.40909 Re,22.48202 Re,17.79613 Re,14.06813 Re,11.1448 Re,8.81772 Re,6.97545 Re,5.5173 Re,4.36941 Re,3.45686 Re,2.73547 Re,2.16054 Re,1.70952 Re,1.35352 Re,1.07079 Re,0.84734 Re,0.67072 Re,0.53067 Re,0.41976 Re,0.33183 Re,0.26261 Re,0.20791 Re,0.16452 Re,0.13007 Re,0.10309 Re,0.08153 Re,0.06443 Re,0.05102 Re,0.04042 Re,0.03192 Re,0.02528 Re,0.01999 Re,20004.453 Im,15829.126 Im,12516.703 Im,9909.4424 Im,7835.48 Im,6217.2461 Im,4905.291 Im,3881.2737 Im,3070.9827 Im,2430.7778 Im,1923.1537 Im,1522.4358 Im,1203.8446 Im,952.86591 Im,754.27557 Im,596.71857 Im,471.96338 Im,373.20856 Im,295.47278 Im,233.87738 Im,185.05922 Im,146.35823 Im,115.77804 Im,91.6721 Im,72.51701 Im,57.36816 Im,45.3629 Im,35.93134 Im,28.40909 Im,22.48202 Im,17.79613 Im,14.06813 Im,11.1448 Im,8.81772 Im,6.97545 Im,5.5173 Im,4.36941 Im,3.45686 Im,2.73547 Im,2.16054 Im,1.70952 Im,1.35352 Im,1.07079 Im,0.84734 Im,0.67072 Im,0.53067 Im,0.41976 Im,0.33183 Im,0.26261 Im,0.20791 Im,0.16452 Im,0.13007 Im,0.10309 Im,0.08153 Im,0.06443 Im,0.05102 Im,0.04042 Im,0.03192 Im,0.02528 Im,0.01999 Im,EIS_PCA_1,EIS_PCA_2
25C04,1,35.53421917888683,1.0,57,   0.29643,   0.30391,   0.31181,   0.32172,   0.33242,   0.34144,   0.35358,   0.36647,   0.37751,   0.39322,   0.40808,   0.42542,   0.44193,   0.46160,   0.48105,   0.50161,   0.52621,   0.54916,   0.57508,   0.60099,   0.63080,   0.66145,   0.69695,   0.73055,   0.76762,   0.80479,   0.84419,   0.88256,   0.92408,   0.96776,   1.01300,   1.06729,   1.12030,   1.18623,   1.27036,   1.33308,   1.42234,   1.50001,   1.59021,   1.67206,   1.72731,   1.76680,   1.79604,   1.82095,   1.84978,   1.89175,   1.94999,   2.01351,   2.05855,   2.05975,   2.01445,   1.95029,   1.91057,   1.95680,   2.12231,   2.50183,   3.08851,   3.72765,   4.15040,   4.06261,  -0.01761,  -0.00063,   0.01784,   0.03261,   0.04572,   0.05524,   0.06745,   0.07701,   0.08622,   0.09473,   0.10502,   0.11434,   0.12412,   0.13218,   0.14211,   0.15019,   0.16184,   0.17197,   0.18262,   0.19467,   0.20720,   0.21875,   0.23202,   0.24256,   0.25396,   0.26528,   0.27768,   0.29072,   0.30485,   0.32230,   0.34321,   0.36286,   0.38584,   0.40557,   0.42760,   0.43574,   0.44113,   0.43025,   0.40873,   0.39385,   0.37586,   0.34871,   0.31623,   0.27895,   0.24378,   0.21280,   0.20811,   0.24082,   0.31490,   0.41441,   0.49704,   0.52989,   0.49661,   0.40070,   0.30329,   0.22567,   0.37483,   0.91612,   1.88493,   3.18676,-11.29360977807854,-3.677857205854453
25C04,2,34.23352049349796,0.9633958838706749,56,   0.30312,   0.31108,   0.31851,   0.32733,   0.33635,   0.34613,   0.35911,   0.37242,   0.38708,   0.39925,   0.41551,   0.43113,   0.44912,   0.46795,   0.48654,   0.50938,   0.53256,   0.55698,   0.58130,   0.60812,   0.63833,   0.67088,   0.70349,   0.73862,   0.77424,   0.81436,   0.85376,   0.89427,   0.93458,   0.97883,   1.02970,   1.08166,   1.13731,   1.20551,   1.28901,   1.36195,   1.45193,   1.54116,   1.62677,   1.72119,   1.79978,   1.85049,   1.88228,   1.90289,   1.92265,   1.95223,   2.00317,   2.07934,   2.16866,   2.23863,   2.25142,   2.20215,   2.12422,   2.07384,   2.12221,   2.36292,   2.93678,   3.87623,   5.01464,   6.01110,  -0.01723,   0.00272,   0.01951,   0.03224,   0.04634,   0.05833,   0.06826,   0.07751,   0.08691,   0.09680,   0.10546,   0.11583,   0.12301,   0.13583,   0.14249,   0.15274,   0.16343,   0.17301,   0.18454,   0.19632,   0.20827,   0.22167,   0.23352,   0.24619,   0.25874,   0.27160,   0.28483,   0.29926,   0.31674,   0.33485,   0.35728,   0.37932,   0.40622,   0.43026,   0.44541,   0.47732,   0.47181,   0.47379,   0.45052,   0.42496,   0.40819,   0.39117,   0.36826,   0.33933,   0.30695,   0.27146,   0.24713,   0.25023,   0.30429,   0.41974,   0.57029,   0.70410,   0.76615,   0.73362,   0.63539,   0.43327,   0.27288,   0.42628,   1.20141,   2.86488,-10.772275313439028,-1.3323832149924817
25C04,3,33.32803503108719,0.9379138138172324,55,   0.30682,   0.31337,   0.32182,   0.33091,   0.33996,   0.35266,   0.36291,   0.37548,   0.38907,   0.40205,   0.41864,   0.43448,   0.45322,   0.46937,   0.49092,   0.51354,   0.53542,   0.56014,   0.58524,   0.61488,   0.64380,   0.67279,   0.70794,   0.74270,   0.78012,   0.81966,   0.85890,   0.89812,   0.94167,   0.98645,   1.03424,   1.08650,   1.15091,   1.21366,   1.28903,   1.39089,   1.46374,   1.56012,   1.64971,   1.73502,   1.82467,   1.89963,   1.94891,   1.97462,   1.98657,   1.99137,   2.01111,   2.05885,   2.14601,   2.27305,   2.40985,   2.49913,   2.49265,   2.39991,   2.30343,   2.23588,   2.38344,   2.98993,   4.32550,   6.60065,  -0.01697,   0.00261,   0.01934,   0.03325,   0.04484,   0.05786,   0.06777,   0.07829,   0.08735,   0.09652,   0.10460,   0.11358,   0.12479,   0.13378,   0.14265,   0.15344,   0.16263,   0.17468,   0.18475,   0.19797,   0.20931,   0.22297,   0.23491,   0.24913,   0.25969,   0.27463,   0.28803,   0.30297,   0.31978,   0.34199,   0.36075,   0.38573,   0.41791,   0.44186,   0.46440,   0.48844,   0.50355,   0.49369,   0.48350,   0.44827,   0.41620,   0.39799,   0.38888,   0.38085,   0.37138,   0.34705,   0.31713,   0.29071,   0.28444,   0.33293,   0.46398,   0.67946,   0.91721,   1.09861,   1.18427,   1.05799,   0.73490,   0.28940,   0.02398,   0.55477,-13.296599088546387,0.2204532539699488
25C04,4,32.72731222793072,0.9210083402473108,54,   0.30780,   0.31411,   0.32221,   0.33148,   0.34245,   0.35200,   0.36401,   0.37637,   0.39069,   0.40465,   0.41936,   0.43623,   0.45488,   0.47368,   0.49377,   0.51633,   0.53847,   0.56214,   0.58731,   0.61595,   0.64568,   0.67603,   0.70931,   0.74539,   0.78122,   0.82269,   0.86274,   0.90088,   0.94428,   0.98808,   1.03668,   1.09271,   1.15056,   1.22162,   1.31402,   1.38075,   1.48176,   1.57020,   1.67736,   1.77758,   1.84744,   1.89752,   1.93557,   1.96891,   2.00775,   2.06072,   2.13574,   2.22088,   2.28497,   2.29928,   2.25688,   2.19766,   2.17720,   2.25833,   2.49581,   3.01901,   3.84249,   4.80588,   5.53126,   5.59307,  -0.01771,   0.00411,   0.01905,   0.03366,   0.04578,   0.05735,   0.06829,   0.07769,   0.08719,   0.09647,   0.10598,   0.11522,   0.12449,   0.13444,   0.14343,   0.15324,   0.16369,   0.17329,   0.18609,   0.19792,   0.20929,   0.22239,   0.23597,   0.24942,   0.26252,   0.27666,   0.28977,   0.30588,   0.32323,   0.34297,   0.36832,   0.39274,   0.42197,   0.44868,   0.47936,   0.49583,   0.50847,   0.50623,   0.48620,   0.47666,   0.46216,   0.43682,   0.40358,   0.36411,   0.32809,   0.29885,   0.29776,   0.34651,   0.45135,   0.58815,   0.70409,   0.75907,   0.73538,   0.63398,   0.51982,   0.41214,   0.60093,   1.33136,   2.73216,   4.75707,-8.379113512135417,-3.0616883096322116
25C04,5,32.31167452005597,0.9093115106143776,53,   0.30830,   0.31640,   0.32492,   0.33412,   0.34349,   0.35493,   0.36586,   0.37828,   0.39231,   0.40682,   0.42196,   0.43864,   0.45475,   0.47391,   0.49400,   0.51592,   0.53861,   0.56168,   0.58838,   0.61513,   0.64570,   0.67803,   0.71066,   0.74615,   0.78162,   0.82018,   0.85854,   0.90029,   0.94347,   0.99030,   1.03625,   1.09035,   1.15709,   1.21733,   1.29867,   1.39594,   1.48349,   1.57185,   1.66897,   1.75404,   1.84029,   1.92428,   1.99023,   2.02970,   2.04809,   2.04604,   2.04800,   2.07670,   2.14364,   2.26733,   2.44230,   2.62254,   2.72714,   2.70603,   2.61554,   2.43583,   2.36558,   2.65809,   3.70505,   6.13879,  -0.01653,   0.00257,   0.01769,   0.03211,   0.04586,   0.05737,   0.06878,   0.07779,   0.08788,   0.09587,   0.10601,   0.11481,   0.12356,   0.13541,   0.14369,   0.15235,   0.16298,   0.17389,   0.18523,   0.19873,   0.20992,   0.22333,   0.23489,   0.24882,   0.26132,   0.27508,   0.28905,   0.30576,   0.32332,   0.34435,   0.36702,   0.39280,   0.42325,   0.45262,   0.48399,   0.48984,   0.52593,   0.51591,   0.50424,   0.47794,   0.43741,   0.40942,   0.39910,   0.40116,   0.40684,   0.40073,   0.38067,   0.35357,   0.33176,   0.34026,   0.42198,   0.61534,   0.90489,   1.21111,   1.44810,   1.47511,   1.23247,   0.69241,  -0.00113,  -0.44613,-14.53733139576891,-0.13131601592187275
25C04,6,32.22121235891173,0.9067657346487137,52,   0.30898,   0.31533,   0.32390,   0.33295,   0.34436,   0.35391,   0.36749,   0.37858,   0.39225,   0.40619,   0.42165,   0.43743,   0.45666,   0.47353,   0.49562,   0.51543,   0.53888,   0.56228,   0.58756,   0.61524,   0.64456,   0.67680,   0.70832,   0.74290,   0.78079,   0.81903,   0.85735,   0.89902,   0.93932,   0.98566,   1.03512,   1.08734,   1.14558,   1.21678,   1.30349,   1.38243,   1.47680,   1.57394,   1.66710,   1.77416,   1.86044,   1.91875,   1.95611,   1.98149,   2.00546,   2.04098,   2.10042,   2.19064,   2.29975,   2.39035,   2.41633,   2.37192,   2.29391,   2.25037,   2.32234,   2.61604,   3.32431,   4.51761,   6.03817,   7.54427,  -0.01758,   0.00098,   0.01871,   0.03285,   0.04491,   0.05719,   0.06818,   0.07687,   0.08655,   0.09565,   0.10650,   0.11370,   0.12324,   0.13301,   0.14388,   0.15238,   0.16215,   0.17200,   0.18493,   0.19760,   0.20925,   0.22155,   0.23367,   0.24713,   0.26015,   0.27240,   0.28686,   0.30569,   0.32149,   0.34451,   0.36970,   0.39416,   0.42782,   0.45371,   0.47480,   0.51072,   0.51003,   0.51825,   0.49697,   0.47268,   0.45982,   0.44533,   0.42535,   0.39611,   0.36478,   0.33032,   0.30706,   0.31505,   0.38440,   0.52445,   0.70692,   0.87159,   0.95527,   0.92607,   0.82100,   0.57297,   0.36888,   0.53578,   1.49304,   3.73873,-8.895218019507013,-0.26432271358943604
25C04,7,32.06959932462568,0.9024990576880411,51,   0.31095,   0.31705,   0.32463,   0.33297,   0.34322,   0.35346,   0.36539,   0.37733,   0.39235,   0.40712,   0.42047,   0.43627,   0.45515,   0.47361,   0.49419,   0.51437,   0.53873,   0.56197,   0.58713,   0.61567,   0.64416,   0.67553,   0.70895,   0.74372,   0.77991,   0.81819,   0.85924,   0.89771,   0.94169,   0.98529,   1.03102,   1.09106,   1.14971,   1.22158,   1.30093,   1.38919,   1.47537,   1.58119,   1.69374,   1.77621,   1.84384,   1.90014,   1.95005,   2.00075,   2.05999,   2.13289,   2.20606,   2.25030,   2.24700,   2.20837,   2.16700,   2.18339,   2.29802,   2.57638,   3.01792,   3.67598,   4.31060,   4.62845,   4.38662,   3.36733,  -0.01773,   0.00193,   0.01741,   0.03226,   0.04479,   0.05872,   0.06831,   0.07756,   0.08641,   0.09516,   0.10557,   0.11249,   0.12367,   0.13293,   0.14468,   0.15350,   0.16211,   0.17266,   0.18544,   0.19786,   0.21003,   0.22070,   0.23452,   0.24828,   0.26077,   0.27460,   0.29032,   0.30519,   0.32066,   0.34323,   0.36875,   0.39871,   0.42731,   0.45429,   0.49623,   0.50342,   0.52276,   0.50969,   0.51408,   0.50801,   0.48011,   0.44431,   0.40210,   0.36061,   0.33276,   0.32826,   0.37126,   0.45798,   0.56001,   0.63475,   0.65753,   0.62655,   0.55003,   0.47711,   0.50621,   0.78049,   1.48628,   2.57797,   3.84374,   4.92103,-9.015819974225716,-6.067856733241806
25C04,8,31.7891650911882,0.894607109027914,50,   0.30895,   0.31717,   0.32584,   0.33500,   0.34402,   0.35464,   0.36646,   0.37892,   0.39445,   0.40732,   0.42226,   0.43785,   0.45675,   0.47542,   0.49516,   0.51477,   0.53959,   0.56248,   0.58940,   0.61682,   0.64702,   0.67585,   0.71042,   0.74569,   0.78370,   0.82081,   0.85921,   0.90205,   0.94266,   0.98664,   1.03854,   1.09325,   1.15110,   1.22257,   1.31435,   1.38920,   1.48896,   1.58734,   1.68492,   1.79716,   1.88611,   1.94609,   1.98444,   2.01373,   2.04219,   2.08308,   2.14933,   2.24728,   2.35807,   2.44251,   2.45809,   2.40685,   2.33208,   2.30837,   2.40710,   2.76993,   3.57075,   4.86459,   6.45974,   7.86487,  -0.01769,   0.00141,   0.01935,   0.03382,   0.04572,   0.05759,   0.06705,   0.07766,   0.08602,   0.09631,   0.10571,   0.11643,   0.12423,   0.13414,   0.14243,   0.15254,   0.16265,   0.17307,   0.18560,   0.19799,   0.21023,   0.22408,   0.23557,   0.24746,   0.26308,   0.27830,   0.29026,   0.30809,   0.32647,   0.34915,   0.37509,   0.39940,   0.43474,   0.46341,   0.48631,   0.52223,   0.52632,   0.53534,   0.51261,   0.49342,   0.48420,   0.46863,   0.44617,   0.41534,   0.38233,   0.34753,   0.32741,   0.34266,   0.42458,   0.57638,   0.76293,   0.92002,   0.98887,   0.94233,   0.81868,   0.56398,   0.38592,   0.65486,   1.82354,   4.36757,-7.910984919744344,-0.27069012422524424
25C04,9,31.60870696270835,0.8895286766703212,49,   0.31029,   0.31762,   0.32752,   0.33524,   0.34494,   0.35628,   0.36681,   0.38057,   0.39275,   0.40806,   0.42211,   0.43944,   0.45772,   0.47584,   0.49608,   0.51810,   0.53933,   0.56360,   0.59098,   0.61778,   0.64667,   0.67847,   0.71126,   0.74734,   0.78407,   0.82309,   0.86325,   0.90223,   0.94691,   0.99150,   1.03984,   1.09554,   1.15609,   1.23228,   1.30132,   1.39806,   1.49030,   1.61204,   1.70329,   1.78639,   1.86386,   1.93050,   1.99509,   2.06533,   2.13545,   2.19970,   2.23239,   2.22604,   2.19515,   2.17965,   2.21388,   2.34000,   2.60097,   3.01254,   3.47507,   3.88031,   3.97728,   3.66302,   2.95283,   2.01668,  -0.01827,   0.00206,   0.01835,   0.03348,   0.04628,   0.05754,   0.06654,   0.07655,   0.08619,   0.09810,   0.10562,   0.11573,   0.12501,   0.13312,   0.14429,   0.15376,   0.16333,   0.17401,   0.18608,   0.19905,   0.21012,   0.22290,   0.23768,   0.25038,   0.26517,   0.27854,   0.29335,   0.30779,   0.32852,   0.34834,   0.37239,   0.40770,   0.43566,   0.46997,   0.49651,   0.52278,   0.52692,   0.53844,   0.54763,   0.52504,   0.49209,   0.45048,   0.40572,   0.37255,   0.36528,   0.39664,   0.46042,   0.53039,   0.57246,   0.57515,   0.54500,   0.49493,   0.47324,   0.57986,   0.88170,   1.50727,   2.31670,   3.07831,   3.46691,   2.97762,-11.888434824771831,-6.92623496791402
25C04,10,31.43520214339108,0.8846459235572217,48,   0.31346,   0.31979,   0.32781,   0.33598,   0.34704,   0.35770,   0.36861,   0.38125,   0.39468,   0.40951,   0.42281,   0.44013,   0.45723,   0.47640,   0.49649,   0.51830,   0.54101,   0.56562,   0.59194,   0.61792,   0.64742,   0.67873,   0.71264,   0.74813,   0.78499,   0.82233,   0.86285,   0.90435,   0.94542,   0.99226,   1.04066,   1.09500,   1.16255,   1.22400,   1.30486,   1.41160,   1.49382,   1.59259,   1.69485,   1.78784,   1.88626,   1.97744,   2.04364,   2.07933,   2.09568,   2.09790,   2.11497,   2.16133,   2.25492,   2.40567,   2.59448,   2.75336,   2.80769,   2.73902,   2.62588,   2.48455,   2.55220,   3.13302,   4.67792,   7.82022,  -0.01797,   0.00175,   0.01980,   0.03302,   0.04492,   0.05652,   0.06883,   0.07744,   0.08669,   0.09647,   0.10697,   0.11331,   0.12461,   0.13395,   0.14411,   0.15292,   0.16518,   0.17377,   0.18511,   0.19761,   0.20981,   0.22331,   0.23792,   0.25054,   0.26521,   0.27860,   0.29333,   0.30921,   0.32869,   0.35250,   0.37437,   0.40444,   0.43735,   0.46780,   0.50121,   0.51881,   0.55228,   0.54590,   0.53782,   0.50960,   0.47374,   0.45257,   0.44746,   0.44832,   0.44877,   0.43306,   0.40637,   0.37880,   0.36634,   0.40093,   0.53101,   0.77731,   1.08892,   1.36838,   1.54571,   1.46050,   1.09628,   0.47006,  -0.14954,  -0.00209,-13.172349575272964,1.4463391844566886
25C04,11,31.36526137435192,0.8826776583003699,47,   0.31166,   0.31943,   0.32703,   0.33512,   0.34578,   0.35421,   0.36747,   0.37825,   0.39270,   0.40736,   0.42166,   0.43912,   0.45514,   0.47496,   0.49512,   0.51555,   0.53832,   0.56298,   0.58810,   0.61454,   0.64394,   0.67674,   0.70874,   0.74474,   0.78046,   0.81762,   0.85713,   0.89845,   0.94171,   0.98649,   1.03392,   1.08706,   1.15192,   1.21400,   1.30352,   1.39195,   1.49494,   1.58025,   1.68296,   1.77451,   1.86009,   1.94955,   2.02793,   2.08081,   2.10964,   2.10796,   2.10289,   2.11729,   2.17316,   2.28722,   2.47657,   2.71222,   2.90774,   2.97964,   2.93681,   2.71051,   2.50042,   2.55089,   3.29828,   5.64509,  -0.01751,   0.00185,   0.01911,   0.03104,   0.04441,   0.05729,   0.06727,   0.07593,   0.08691,   0.09640,   0.10505,   0.11415,   0.12239,   0.13241,   0.14073,   0.15115,   0.16307,   0.17352,   0.18410,   0.19721,   0.20838,   0.22174,   0.23432,   0.24822,   0.26090,   0.27567,   0.29036,   0.30563,   0.32570,   0.34700,   0.37150,   0.39953,   0.42945,   0.46462,   0.49783,   0.50459,   0.54511,   0.54637,   0.53125,   0.50951,   0.46980,   0.43425,   0.41897,   0.42437,   0.43910,   0.44904,   0.44198,   0.41911,   0.39255,   0.38146,   0.42926,   0.59131,   0.89172,   1.27792,   1.63217,   1.81103,   1.68759,   1.16774,   0.21165,  -0.89685,-15.120148282492634,-0.7459616348397078
25C04,12,31.49226453007636,0.8862517668261568,46,   0.31104,   0.31739,   0.32785,   0.33478,   0.34398,   0.35559,   0.36664,   0.37916,   0.39114,   0.40601,   0.42030,   0.43798,   0.45601,   0.47383,   0.49407,   0.51681,   0.53661,   0.56228,   0.58810,   0.61568,   0.64534,   0.67434,   0.70880,   0.74301,   0.77920,   0.81783,   0.85650,   0.89778,   0.93754,   0.98236,   1.03393,   1.08649,   1.14741,   1.21910,   1.29754,   1.39401,   1.47669,   1.58515,   1.67879,   1.78536,   1.88686,   1.96027,   2.00650,   2.03187,   2.04973,   2.07555,   2.12324,   2.20665,   2.33002,   2.46351,   2.56450,   2.57530,   2.50455,   2.40791,   2.38006,   2.51609,   3.05417,   4.23237,   6.15103,   8.76147,  -0.01980,   0.00119,   0.01902,   0.03224,   0.04565,   0.05706,   0.06654,   0.07593,   0.08710,   0.09655,   0.10460,   0.11404,   0.12226,   0.13187,   0.14130,   0.15201,   0.16231,   0.17347,   0.18558,   0.19498,   0.20826,   0.22108,   0.23429,   0.24800,   0.26059,   0.27321,   0.28888,   0.30660,   0.32539,   0.34852,   0.37260,   0.40141,   0.43848,   0.46522,   0.48625,   0.52992,   0.53513,   0.54025,   0.52874,   0.49814,   0.47897,   0.46838,   0.45803,   0.43990,   0.41745,   0.38292,   0.35202,   0.34073,   0.37871,   0.49793,   0.70043,   0.93496,   1.11810,   1.18435,   1.14200,   0.86726,   0.48613,   0.24440,   0.68741,   2.61315,-9.689548993400063,1.5085204224948694
25C04,13,31.44771278960162,0.8849979967559477,45,   0.31232,   0.31995,   0.32788,   0.33507,   0.34744,   0.35505,   0.36623,   0.37813,   0.39181,   0.40805,   0.42249,   0.43687,   0.45638,   0.47611,   0.49507,   0.51661,   0.53802,   0.56247,   0.58913,   0.61613,   0.64492,   0.67535,   0.70808,   0.74366,   0.78012,   0.81817,   0.85712,   0.89897,   0.93943,   0.98500,   1.03481,   1.08771,   1.14738,   1.21922,   1.30336,   1.39020,   1.48302,   1.58851,   1.68576,   1.79875,   1.89833,   1.96771,   2.01066,   2.03713,   2.06058,   2.09527,   2.15400,   2.24856,   2.37523,   2.49697,   2.55823,   2.53770,   2.45672,   2.38230,   2.40824,   2.65936,   3.37166,   4.69626,   6.61876,   8.82705,  -0.01793,   0.00165,   0.01670,   0.03109,   0.04507,   0.05574,   0.06724,   0.07633,   0.08670,   0.09649,   0.10454,   0.11306,   0.12347,   0.13258,   0.14119,   0.15137,   0.16382,   0.17387,   0.18507,   0.19576,   0.20979,   0.22136,   0.23426,   0.24755,   0.26304,   0.27579,   0.28972,   0.30880,   0.32715,   0.35036,   0.37537,   0.40369,   0.44086,   0.46931,   0.49051,   0.53718,   0.53975,   0.54972,   0.53350,   0.50664,   0.49400,   0.48382,   0.46824,   0.44274,   0.41488,   0.37951,   0.35203,   0.35201,   0.41068,   0.55286,   0.76138,   0.97517,   1.11263,   1.12464,   1.02516,   0.73019,   0.41490,   0.40505,   1.25086,   3.68995,-8.317019745902577,1.0703208550767391
25C04,14,31.30953910837555,0.8811095285577167,44,   0.31225,   0.31781,   0.32664,   0.33594,   0.34644,   0.35604,   0.36912,   0.38015,   0.39315,   0.40751,   0.42293,   0.43876,   0.45555,   0.47449,   0.49538,   0.51631,   0.53831,   0.56248,   0.58695,   0.61573,   0.64513,   0.67427,   0.70842,   0.74325,   0.77770,   0.81716,   0.85491,   0.89726,   0.93989,   0.98377,   1.03233,   1.08333,   1.14582,   1.21467,   1.30323,   1.38030,   1.50115,   1.59509,   1.68408,   1.78099,   1.86255,   1.94336,   2.02576,   2.10050,   2.15398,   2.17513,   2.16463,   2.14999,   2.15905,   2.21831,   2.35973,   2.60519,   2.92517,   3.22315,   3.41653,   3.33475,   3.02770,   2.62077,   2.41373,   3.13427,  -0.01896,   0.00135,   0.01656,   0.03145,   0.04577,   0.05545,   0.06689,   0.07696,   0.08631,   0.09479,   0.10461,   0.11326,   0.12303,   0.13222,   0.14152,   0.15177,   0.16256,   0.17288,   0.18488,   0.19460,   0.20895,   0.22010,   0.23349,   0.24612,   0.26236,   0.27601,   0.29060,   0.30666,   0.32626,   0.34727,   0.37317,   0.40394,   0.43381,   0.47465,   0.49600,   0.51814,   0.53689,   0.56336,   0.54898,   0.52533,   0.49177,   0.44678,   0.41289,   0.40663,   0.42360,   0.46312,   0.49470,   0.50115,   0.48461,   0.45479,   0.43300,   0.47225,   0.65283,   1.02158,   1.49418,   2.03181,   2.37561,   2.32484,   1.61653,  -0.08519,-15.081132371954544,-4.195418154300341
25C04,15,31.22808981972335,0.8788173918361479,43,   0.31311,   0.31953,   0.32742,   0.33661,   0.34502,   0.35676,   0.36782,   0.37919,   0.39351,   0.40775,   0.42296,   0.43824,   0.45495,   0.47480,   0.49586,   0.51621,   0.53793,   0.56206,   0.58596,   0.61340,   0.64518,   0.67570,   0.70808,   0.74383,   0.77984,   0.81754,   0.85627,   0.89834,   0.94031,   0.98445,   1.03184,   1.08375,   1.14617,   1.22014,   1.29691,   1.38337,   1.49368,   1.60722,   1.69253,   1.78396,   1.86603,   1.94056,   2.01670,   2.09503,   2.16356,   2.20933,   2.21547,   2.19396,   2.17559,   2.19589,   2.28611,   2.48549,   2.81221,   3.21660,   3.57844,   3.73757,   3.56528,   3.08201,   2.47464,   2.15777,  -0.01766,   0.00197,   0.01844,   0.03162,   0.04516,   0.05589,   0.06661,   0.07784,   0.08431,   0.09382,   0.10535,   0.11337,   0.12204,   0.13305,   0.14132,   0.15098,   0.16195,   0.17330,   0.18472,   0.19620,   0.20800,   0.22132,   0.23470,   0.24755,   0.26192,   0.27693,   0.29119,   0.30646,   0.32821,   0.34972,   0.37383,   0.40918,   0.43539,   0.47706,   0.49805,   0.52853,   0.53326,   0.56133,   0.55977,   0.53418,   0.50060,   0.45790,   0.41463,   0.39318,   0.40008,   0.44564,   0.50095,   0.54080,   0.54795,   0.52619,   0.48821,   0.46575,   0.53715,   0.79280,   1.22590,   1.89251,   2.54574,   2.92533,   2.72017,   1.41006,-13.669844324934507,-6.083618233663916
25C04,16,31.1870786242455,0.8776632593850762,42,   0.31218,   0.31929,   0.32656,   0.33570,   0.34622,   0.35668,   0.36806,   0.37817,   0.39347,   0.40626,   0.42146,   0.43769,   0.45523,   0.47442,   0.49544,   0.51437,   0.53625,   0.56134,   0.58730,   0.61304,   0.64472,   0.67393,   0.70633,   0.74164,   0.77864,   0.81681,   0.85492,   0.89591,   0.93869,   0.98303,   1.03092,   1.08294,   1.14456,   1.21891,   1.29406,   1.38170,   1.49016,   1.60553,   1.69331,   1.78362,   1.86641,   1.94071,   2.01646,   2.09481,   2.16453,   2.21505,   2.22492,   2.20407,   2.18326,   2.19805,   2.27869,   2.46931,   2.79271,   3.21338,   3.59908,   3.79309,   3.65065,   3.17715,   2.51568,   2.06101,  -0.01705,   0.00103,   0.01799,   0.03126,   0.04444,   0.05689,   0.06649,   0.07613,   0.08569,   0.09363,   0.10430,   0.11260,   0.12274,   0.13204,   0.14161,   0.15236,   0.16094,   0.17276,   0.18467,   0.19602,   0.20711,   0.22032,   0.23327,   0.24568,   0.26138,   0.27758,   0.29070,   0.30603,   0.32717,   0.34649,   0.37287,   0.40604,   0.43697,   0.47757,   0.50088,   0.53036,   0.53488,   0.56180,   0.56368,   0.53678,   0.50474,   0.46043,   0.41834,   0.39506,   0.40047,   0.44357,   0.50319,   0.54896,   0.56100,   0.54209,   0.50287,   0.47242,   0.52387,   0.75833,   1.18862,   1.87033,   2.56461,   3.00683,   2.89303,   1.65609,-13.403688980771019,-6.325638695874261
